WARNING - 2021-04-11 16:36:04,370: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:36:08,681: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:36:09,585: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:36:52,459: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:37:31,235: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:37:50,489: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:38:09,098: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:38:20,086: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:38:53,881: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:39:43,318: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:39:45,618: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:39:46,553: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:41:48,909: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:41:52,820: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:41:53,569: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:42:07,381: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:43:29,524: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:44:06,879: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:45:12,716: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:45:58,332: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:47:44,167: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:48:43,849: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:48:51,457: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:49:03,200: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:49:24,980: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:49:24,980: NEW CHANNEL CREATED: Channel 1
WARNING - 2021-04-11 16:49:24,980: NEW CHANNEL CREATED: Channel 2
WARNING - 2021-04-11 16:49:24,980: NEW CHANNEL CREATED: Channel 3
WARNING - 2021-04-11 16:49:56,336: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:49:56,337: NEW CHANNEL CREATED: Channel 1
WARNING - 2021-04-11 16:49:56,337: NEW CHANNEL CREATED: Channel 2
WARNING - 2021-04-11 16:49:56,337: NEW CHANNEL CREATED: Channel 3
WARNING - 2021-04-11 16:50:09,125: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:50:09,126: NEW CHANNEL CREATED: Channel 1
WARNING - 2021-04-11 16:50:09,126: NEW CHANNEL CREATED: Channel 2
WARNING - 2021-04-11 16:50:09,126: NEW CHANNEL CREATED: Channel 3
WARNING - 2021-04-11 16:51:30,130: NEW YOUTUBE: Youtube
WARNING - 2021-04-11 16:51:30,130: NEW CHANNEL CREATED: Channel 1
WARNING - 2021-04-11 16:51:30,130: NEW CHANNEL CREATED: Channel 2
WARNING - 2021-04-11 16:51:30,130: NEW CHANNEL CREATED: Channel 3
